"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Firefox","0","This is a Failed Firefox Test","1","0","","0"
"0","Chrome","0","This is Chrome Test","3","0","","0"
"0","Edge","0","This is Edge Test","1","0","","0"
"0","Edge","0","This is a Failed Edge Test","1","0","","0"
"0","Firefox","0","This is Firefox Test","1","0","","0"
